OBJECTID,LATITUDE,LONGITUDE,FIRE_YEAR,STAT_CAUSE_DESCR,STATE,FIRE_NAME,FIRE_SIZE,FIRE_SIZE_CLASS
46481,38.33833333,-119.3766667,1992,Lightning,CA,,0.1,A
46484,38.30833333,-119.5333333,1992,Campfire,CA,,0.5,B
46485,38.21833333,-119.5866667,1992,Lightning,CA,,0.5,B
46486,38.13833333,-119.3666667,1992,Smoking,CA,,1,B
46487,38.13833333,-119.3366667,1992,Debris Burning,CA,,0.1,A
46488,38.51666667,-119.4666667,1992,Debris Burning,CA,,0.1,A
46669,34.29361111,-118.1477778,1992,Arson,CA,ARROYO,0.1,A
46670,34.25833333,-118.1416667,1992,Lightning,CA,,0.1,A
46671,34.36,-117.845,1992,Equipment Use,CA,MOTORCYCLE,0.2,A
46672,34.345,-117.88,1992,Campfire,CA,VISTA,0.1,A
46673,34.22833333,-118.1766667,1992,Arson,CA,TURNOUT,0.1,A
46674,34.20833333,-118.125,1992,Miscellaneous,CA,,0.5,B
46675,34.345,-117.8266667,1992,Miscellaneous,CA,JIMMY,0.1,A
46676,34.30166667,-118.0366667,1992,Lightning,CA,,0.1,A
46677,34.17166667,-118.0366667,1992,Arson,CA,EIGHT,0.1,A
46678,34.19833333,-118.1052778,1992,Smoking,CA,SKYLANE,10,C
46679,34.25833333,-118.1933333,1992,Equipment Use,CA,CREST,3.5,B
46680,34.345,-117.915,1992,Campfire,CA,STUDENT,0.1,A
46681,34.17166667,-118.02,1992,Arson,CA,WILDERNESS,0.1,A
46682,34.36,-117.88,1992,Lightning,CA,,0.2,A
46683,34.36,-117.9316667,1992,Lightning,CA,,0.1,A
46684,34.28666667,-117.95,1992,Lightning,CA,,0.1,A
46685,34.27333333,-118.0716667,1992,Arson,CA,BARLEY,1,B
46686,34.22833333,-118.1416667,1992,Campfire,CA,,0.1,A
46687,34.17166667,-117.67,1992,Miscellaneous,CA,TOYOTA,0.1,A
46688,34.31666667,-117.8616667,1992,Arson,CA,END,0.1,A
46689,34.22833333,-117.845,1992,Arson,CA,EARLY,0.1,A
46690,34.15666667,-117.8966667,1992,Arson,CA,ENCANTO,0.1,A
46691,34.17166667,-117.7566667,1992,Miscellaneous,CA,BIKE,0.1,A
46692,34.15666667,-117.915,1992,Miscellaneous,CA,QUARRY,0.2,A
46693,34.28666667,-117.845,1992,Smoking,CA,MOON,0.2,A
46694,34.215,-117.8616667,1992,Arson,CA,,0.1,A
46695,34.24333333,-117.8616667,1992,Children,CA,NORTH,0.5,B
46696,34.15833333,-117.845,1992,Arson,CA,GLENDORA,0.3,B
46697,34.15666667,-117.845,1992,Campfire,CA,ERIN,0.3,B
46698,34.22833333,-117.7566667,1992,Miscellaneous,CA,COYOTE,1,B
46699,34.24333333,-117.8616667,1992,Campfire,CA,WEST,0.1,A
46700,34.215,-117.8616667,1992,Arson,CA,YUCCA,10,C
46701,34.15666667,-117.67,1992,Arson,CA,MOUNTAIN,0.2,A
46702,34.345,-117.81,1992,Lightning,CA,,0.1,A
46703,34.25833333,-117.635,1992,Miscellaneous,CA,COROLLA,0.1,A
46704,34.27333333,-117.8266667,1992,Miscellaneous,CA,PIGEON,16,C
46705,34.17166667,-117.8966667,1992,Arson,CA,ENTRY,1.5,B
46706,34.31666667,-117.845,1992,Campfire,CA,CRYSTAL,0.1,A
46707,34.15666667,-117.775,1992,Smoking,CA,SAND,0.1,A
46708,34.28666667,-117.845,1992,Miscellaneous,CA,BENCH,0.1,A
46709,34.2,-117.8616667,1992,Campfire,CA,ISLIP,30,C
46710,34.28666667,-117.845,1992,Campfire,CA,VALLEY,0.1,A
46711,34.14166667,-117.6516667,1992,Arson,CA,HEIGHTS,3,B
46712,34.31666667,-117.845,1992,Campfire,CA,HOLLOW,1.5,B
46713,34.31666667,-117.9316667,1992,Lightning,CA,,0.1,A
46714,34.28666667,-117.7216667,1992,Lightning,CA,,0.1,A
46715,34.33,-117.9316667,1992,Lightning,CA,,0.3,B
46716,34.22833333,-117.74,1992,Lightning,CA,,0.1,A
46717,34.30166667,-117.6866667,1992,Lightning,CA,,0.2,A
46718,34.22833333,-117.6516667,1992,Equipment Use,CA,SAW,0.1,A
46719,34.17166667,-117.845,1992,Smoking,CA,TURKEY,0.1,A
46720,34.21555556,-117.6561111,1992,Smoking,CA,DUN,0.1,A
46721,34.27333333,-117.6166667,1992,Campfire,CA,MANKER,0.1,A
46722,34.22833333,-117.67,1992,Arson,CA,,0.1,A
46723,34.31666667,-117.8616667,1992,Arson,CA,,0.1,A
46724,34.565,-118.3466667,1992,Lightning,CA,,0.1,A
46725,34.58,-118.7183333,1992,Debris Burning,CA,DUMP,0.1,A
46726,34.66666667,-118.4016667,1992,Campfire,CA,/ELIZABETH,0.1,A
46727,34.63833333,-118.4366667,1992,Miscellaneous,CA,,0.1,A
46728,34.69666667,-118.385,1992,Miscellaneous,CA,,0.5,B
46729,34.44666667,-118.4033333,1992,Arson,CA,COPPERHILL,50,C
46730,34.595,-118.7,1992,Miscellaneous,CA,FREEWAY,0.3,B
46731,34.595,-118.2766667,1992,Miscellaneous,CA,POLE,0.1,A
46732,34.51833333,-118.6133333,1992,Smoking,CA,BRICK,0.1,A
46733,34.54833333,-118.5083333,1992,Miscellaneous,CA,SHOOT,0.1,A
46734,34.475,-118.4566667,1992,Equipment Use,CA,BOUQUET,2,B
46735,34.53583333,-118.5647222,1992,Miscellaneous,CA,MAX,5,B
46736,34.63833333,-118.3833333,1992,Equipment Use,CA,MORNING,0.1,A
46737,34.53333333,-118.6483333,1992,Equipment Use,CA,GOLDEN,0.1,A
46738,34.475,-118.5433333,1992,Equipment Use,CA,CORRAL,0.1,A
46739,34.58,-118.3116667,1992,Miscellaneous,CA,TRAIL,0.1,A
46740,34.62333333,-118.7183333,1992,Debris Burning,CA,RAIL,0.3,B
46741,34.58,-118.7,1992,Miscellaneous,CA,TEMPLIN,0.5,B
46742,34.71166667,-118.42,1992,Miscellaneous,CA,FAIRMONT,3,B
46743,34.49,-118.4566667,1992,Miscellaneous,CA,TEXAS,40,C
46744,34.58,-118.7,1992,Equipment Use,CA,ARROW,0.2,A
46745,34.69833333,-118.7933333,1992,Miscellaneous,CA,APPLE,0.3,B
46746,34.45666667,-118.7183333,1992,Miscellaneous,CA,DART,0.1,A
46747,34.65333333,-118.3833333,1992,Children,CA,RANCH,0.1,A
46748,34.565,-118.6816667,1992,Equipment Use,CA,DEVIL,1337,F
46749,34.565,-118.6816667,1992,Miscellaneous,CA,PARADISE,0.5,B
46750,34.53333333,-118.5266667,1992,Equipment Use,CA,,0.1,A
46751,34.61,-118.7016667,1992,Equipment Use,CA,,0.1,A
46752,34.58,-118.7,1992,Equipment Use,CA,FLATBEAD,0.1,A
46753,34.58,-118.7,1992,Miscellaneous,CA,WHITAKER,15,C
46754,34.54833333,-118.4383333,1992,Miscellaneous,CA,OAK,0.1,A
46755,34.595,-118.7,1992,Equipment Use,CA,MAIL,0.1,A
46756,34.49,-118.3866667,1992,Miscellaneous,CA,SIERRA,0.1,A
46757,34.61,-118.7183333,1992,Miscellaneous,CA,ISLAND,0.2,A
46758,34.66666667,-118.3833333,1992,Children,CA,GOLF,0.2,A
46759,34.67,-118.7566667,1992,Miscellaneous,CA,LIEBRE,0.5,B
46760,34.67,-118.775,1992,Equipment Use,CA,SOUTHBOUND,2,B
46761,34.54833333,-118.5083333,1992,Equipment Use,CA,PEUGOT,0.1,A
46762,34.59305556,-118.3697222,1992,Miscellaneous,CA,LAKE,100,D
46763,34.49,-118.4566667,1992,Equipment Use,CA,TRAILER,0.1,A
46764,34.62333333,-118.4016667,1992,Miscellaneous,CA,MONTANA,0.1,A
46765,34.58,-118.7,1992,Miscellaneous,CA,SAGE,0.3,B
46766,34.475,-118.5433333,1992,Equipment Use,CA,KEATLEY,0.1,A
46767,34.58,-118.2933333,1992,Miscellaneous,CA,POWER,0.1,A
46768,34.51833333,-118.63,1992,Equipment Use,CA,TRUCK,0.1,A
46769,34.62333333,-118.7183333,1992,Miscellaneous,CA,PEAK,0.5,B
46770,34.62333333,-118.7183333,1992,Equipment Use,CA,ROCK,0.2,A
46771,34.595,-118.7,1992,Miscellaneous,CA,FISHER,0.2,A
46772,34.69833333,-118.7933333,1992,Equipment Use,CA,AUDI,0.2,A
46773,34.36,-117.705,1992,Lightning,CA,,0.1,A
46774,34.41666667,-117.635,1992,Arson,CA,TAMERAC,0.1,A
46775,34.40333333,-117.7566667,1992,Equipment Use,CA,WATER,0.1,A
46776,34.33,-117.7216667,1992,Arson,CA,PRARIE,24,C
46777,34.36,-117.635,1992,Miscellaneous,CA,WRIGHTWOOD,0.1,A
46778,34.37333333,-117.6,1992,Smoking,CA,SPOT,0.1,A
46779,34.505,-118.055,1992,Arson,CA,RABBIT,0.1,A
46780,34.37333333,-117.6,1992,Miscellaneous,CA,,0.1,A
46781,34.41666667,-117.74,1992,Miscellaneous,CA,BIGROCK,0.3,B
46782,34.44666667,-117.88,1992,Campfire,CA,PALLETT,3,B
46783,34.475,-118.02,1992,Miscellaneous,CA,JUNIPER,0.1,A
46784,34.33,-117.635,1992,Campfire,CA,BOUNDARY,1,B
46785,34.505,-118.02,1992,Lightning,CA,,0.1,A
46786,34.44666667,-117.8966667,1992,Lightning,CA,,0.1,A
46787,34.38833333,-117.8266667,1992,Lightning,CA,,0.5,B
46788,34.37333333,-117.6866667,1992,Lightning,CA,,0.1,A
46789,34.36,-117.7216667,1992,Lightning,CA,,0.5,B
46790,34.41666667,-117.88,1992,Miscellaneous,CA,CREEK,0.2,A
46791,34.34166667,-118.1066667,1992,Arson,CA,OUTHOUSE,0.1,A
46792,34.44,-118.145,1992,Miscellaneous,CA,CHIMNEY,0.1,A
46793,34.29333333,-118.36,1992,Miscellaneous,CA,DUMPSTER,0.1,A
46794,34.38833333,-118.4566667,1992,Campfire,CA,PLACERITA,0.5,B
46795,34.35,-118.1083333,1992,Arson,CA,PLYMOUTH,0.1,A
46796,34.28833333,-118.1766667,1992,Arson,CA,CAMERO,0.1,A
46797,34.28,-118.2116667,1992,Arson,CA,CHEVY,0.1,A
46798,34.29666667,-118.145,1992,Miscellaneous,CA,,0.1,A
46799,34.28166667,-118.1966667,1992,Miscellaneous,CA,BRIDGE,0.1,A
46800,34.44166667,-118.0833333,1992,Miscellaneous,CA,KENTUCKY,0.5,B
46801,34.29166667,-118.3783333,1992,Arson,CA,YOTA,0.2,A
46802,34.43833333,-118.2516667,1992,Lightning,CA,,0.1,A
46803,34.45333333,-118.1816667,1992,Miscellaneous,CA,CALM,0.1,A
46804,34.30666667,-118.4083333,1992,Miscellaneous,CA,HARDY,5,B
46805,34.33,-118.405,1992,Miscellaneous,CA,PACOIMA,0.1,A
46806,34.28333333,-118.2933333,1992,Arson,CA,GLEASON,0.1,A
46807,34.44333333,-118.09,1992,Miscellaneous,CA,SHOOTING,0.2,A
46808,34.44166667,-118.09,1992,Miscellaneous,CA,AREA,0.1,A
46809,34.28666667,-118.1783333,1992,Miscellaneous,CA,CAMRY,0.1,A
46810,34.44166667,-118.3033333,1992,Arson,CA,OASIS,0.1,A
46811,34.46,-118.3333333,1992,Equipment Use,CA,ANTELOPE,0.1,A
46812,34.32166667,-118.3383333,1992,Miscellaneous,CA,INDIAN,0.2,A
46813,34.39666667,-118.425,1992,Equipment Use,CA,RADCLAY,0.5,B
46814,34.43833333,-118.14,1992,Miscellaneous,CA,JEEP,0.1,A
46815,34.46166667,-118.1116667,1992,Arson,CA,BUICK,0.1,A
46816,34.28333333,-118.375,1992,Miscellaneous,CA,KAGEL,0.1,A
46817,34.44666667,-118.0983333,1992,Lightning,CA,,0.1,A
46818,34.32,-118.3316667,1992,Arson,CA,GOLD,0.1,A
46819,34.36166667,-118.1066667,1992,Miscellaneous,CA,PAUL,0.1,A
46820,34.345,-118.35,1992,Miscellaneous,CA,DILLON,80,C
46821,34.36833333,-118.4983333,1992,Miscellaneous,CA,DOCKWEILER,1.5,B
46822,34.305,-118.375,1992,Arson,CA,OLDS,0.1,A
46823,34.33,-118.4033333,1992,Miscellaneous,CA,DAM,0.1,A
46824,34.345,-118.3516667,1992,Arson,CA,CHEVY,0.1,A
46825,34.38666667,-118.05,1992,Lightning,CA,,0.1,A
46826,34.29166667,-118.3683333,1992,Miscellaneous,CA,MIDDLE,0.5,B
46827,34.37166667,-118.4,1992,Miscellaneous,CA,BOMB,0.2,A
46828,34.3,-118.1533333,1992,Arson,CA,,0.1,A
46829,34.38833333,-118.1583333,1992,Smoking,CA,CARSON,0.1,A
46830,34.40333333,-118.09,1992,Miscellaneous,CA,VOLTAGE,0.1,A
46831,34.30166667,-118.2816667,1992,Arson,CA,,0.1,A
46832,33.59666667,-117.2966667,1992,Equipment Use,CA,GRAND,1,B
46833,33.58166667,-117.315,1992,Campfire,CA,GRANDE,1,B
46834,33.63833333,-117.3566667,1992,Campfire,CA,ADELFA,0.2,A
46835,33.67333333,-117.5533333,1992,Miscellaneous,CA,LIVE,0.2,A
46836,33.5,-117.35,1992,Arson,CA,LACRESTA,25,C
46837,33.54,-117.3233333,1992,Arson,CA,LACRESTA_#2,5,B
46838,33.83666667,-117.6033333,1992,Campfire,CA,MULE,0.4,B
46839,33.64666667,-117.3666667,1992,Children,CA,GARNER,0.1,A
46840,33.52333333,-117.3533333,1992,Arson,CA,AVENIDA,4,B
46841,33.66666667,-117.5883333,1992,Miscellaneous,CA,OAKS,1.5,B
46842,33.47,-117.47,1992,Miscellaneous,CA,TATE,500,E
46843,33.40833333,-117.3716667,1992,Miscellaneous,CA,TOWER,120,D
46844,33.48333333,-117.3666667,1992,Arson,CA,TENAJA,1.5,B
46845,33.60166667,-117.4416667,1992,Campfire,CA,CAMPGROUND,0.1,A
46846,33.65666667,-117.3566667,1992,Miscellaneous,CA,DOWMAN,0.1,A
46847,33.24833333,-116.7866667,1992,Arson,CA,HOLE,0.1,A
46848,33.085,-116.8833333,1992,Miscellaneous,CA,YSABEL,650,E
46849,33.31555556,-116.6711111,1992,Miscellaneous,CA,SERE,0.1,A
46850,33.43333333,-117.0833333,1992,Miscellaneous,CA,PALA,10,C
46851,32.96666667,-116.8,1992,Miscellaneous,CA,MESA,0.1,A
46852,33.08666667,-116.8666667,1992,Arson,CA,DUAL,0.1,A
46853,33.34333333,-116.605,1992,Lightning,CA,LOST,1,B
46854,33.40305556,-116.8788889,1992,Lightning,CA,CUTCA,1,B
46855,33.275,-116.8383333,1992,Arson,CA,LA_JOLLA,51,C
46856,33.33666667,-116.7733333,1992,Lightning,CA,WEIR,0.5,B
46857,32.91666667,-116.8716667,1992,Miscellaneous,CA,WILDCAT,1095,F
46858,33,-116.8,1992,Children,CA,BARONA,175,D
46859,33.46111111,-116.9558333,1992,Arson,CA,PAUBA,0.5,B
46860,33.465,-116.975,1992,Miscellaneous,CA,ARROYO,0.1,A
46861,33.325,-116.8566667,1992,Lightning,CA,FIR,0.1,A
46862,33.295,-116.835,1992,Lightning,CA,JEFF,0.1,A
46863,33.305,-116.85,1992,Lightning,CA,CRESTLINE,0.1,A
46864,33.305,-116.8216667,1992,Lightning,CA,BIRCH,0.1,A
46865,33.14333333,-116.7833333,1992,Miscellaneous,CA,BLACK,0.3,B
46866,33.14333333,-116.7833333,1992,Miscellaneous,CA,CANYON,0.3,B
46867,33.05833333,-116.8883333,1992,Arson,CA,WEEKEND_#2,3,B
46868,33.46111111,-116.9558333,1992,Equipment Use,CA,OREGON,0.1,A
46869,32.8925,-116.4252778,1992,Miscellaneous,CA,CAMP,0.1,A
46870,32.70888889,-116.4691667,1992,Miscellaneous,CA,CORRAL,0.1,A
46871,32.68333333,-116.4833333,1992,Equipment Use,CA,HOOK,0.1,A
46872,32.85,-116.4166667,1992,Lightning,CA,SPRING,0.1,A
46873,32.86666667,-116.4333333,1992,Campfire,CA,WOODED,0.1,A
46874,32.73333333,-116.4666667,1992,Miscellaneous,CA,GLASS,1,B
46875,32.73333333,-116.45,1992,Miscellaneous,CA,LONER,1,B
46876,32.86666667,-116.6347222,1992,Children,CA,ANDERSON,0.1,A
46877,32.7,-116.5,1992,Arson,CA,EAGLE,0.1,A
46878,32.86666667,-116.8166667,1992,Miscellaneous,CA,HAY,0.1,A
46879,32.83333333,-116.55,1992,Miscellaneous,CA,FIAT,0.1,A
46880,32.83333333,-116.7166667,1992,Miscellaneous,CA,GUARDRAIL,0.1,A
46881,32.86666667,-116.7,1992,Arson,CA,CAPRI,0.1,A
46882,32.73333333,-116.4833333,1992,Miscellaneous,CA,POWER,0.1,A
46883,32.83333333,-116.7,1992,Miscellaneous,CA,ANT,0.5,B
46884,32.76666667,-116.6833333,1992,Miscellaneous,CA,TRAILER,0.1,A
46885,32.63333333,-116.5166667,1992,Miscellaneous,CA,STAR,430,E
46886,32.78333333,-116.6666667,1992,Miscellaneous,CA,VALLEY,0.1,A
46887,32.79055556,-116.7366667,1992,Campfire,CA,LOVELAND,1550,F
46888,32.81666667,-116.6333333,1992,Arson,CA,CALTRANS,0.1,A
46889,32.78333333,-116.65,1992,Arson,CA,VALLEY_#2,0.1,A
46890,32.78333333,-116.6666667,1992,Arson,CA,LANE,0.1,A
46891,32.75,-116.4833333,1992,Arson,CA,GLIDER,0.1,A
46892,32.75,-116.4833333,1992,Arson,CA,GLIDER_#2,0.1,A
46893,32.87,-116.4166667,1992,Campfire,CA,DESERT,0.1,A
46894,32.76666667,-116.75,1992,Equipment Use,CA,BOUNDARY,0.5,B
46895,32.86666667,-116.4166667,1992,Arson,CA,RADAR,0.1,A
46896,32.88333333,-116.4166667,1992,Lightning,CA,MONUMENT,0.5,B
46897,32.83333333,-116.6166667,1992,Miscellaneous,CA,TOW,0.1,A
46898,32.78333333,-116.55,1992,Lightning,CA,RIDGE,0.5,B
46899,32.78333333,-116.5,1992,Arson,CA,BOOTS,0.1,A
46900,32.86333333,-116.4427778,1992,Debris Burning,CA,KIOSK,0.1,A
46901,32.83333333,-116.7166667,1992,Miscellaneous,CA,MONTECITO,0.1,A
46902,32.83333333,-116.6666667,1992,Children,CA,LITTLEBOY,0.5,B
46903,32.71666667,-116.4333333,1992,Miscellaneous,CA,POST,0.1,A
46904,32.73333333,-116.35,1992,Miscellaneous,CA,CREEK,4,B
46905,32.81666667,-116.5666667,1992,Miscellaneous,CA,RAIL,0.1,A
46906,32.71666667,-116.45,1992,Miscellaneous,CA,LA_POSTA,0.1,A
46907,32.86666667,-116.6166667,1992,Miscellaneous,CA,TANGLEWOOD,0.1,A
46908,32.88333333,-116.4333333,1992,Lightning,CA,BASE,0.3,B
46909,32.85,-116.7,1992,Miscellaneous,CA,VIEJAS,2,B
46910,32.81666667,-116.5,1992,Miscellaneous,CA,RANCHERO,0.3,B
46911,32.78333333,-116.6666667,1992,Debris Burning,CA,ILLAHEE,0.1,A
46912,32.9,-116.45,1992,Campfire,CA,RACOON,0.1,A
46913,32.85,-116.7,1992,Miscellaneous,CA,VIEJAS_#2,0.2,A
46914,32.9,-116.5,1992,Lightning,CA,NOBLE,0.1,A
46915,32.73333333,-116.5666667,1992,Equipment Use,CA,ROAD,1,B
46916,32.85,-116.5666667,1992,Miscellaneous,CA,FARLEY,0.1,A
46917,32.83333333,-116.6666667,1992,Miscellaneous,CA,ROCK,0.1,A
46918,32.81666667,-116.5166667,1992,Campfire,CA,TRANSIENT,0.1,A
46919,38.48,-120.3583333,1992,Miscellaneous,CA,SALT,58,C
46920,38.5,-120.275,1992,Lightning,CA,,1,B
46921,38.49833333,-120.3683333,1992,Debris Burning,CA,PANTHER,1,B
46922,38.675,-120.1083333,1992,Lightning,CA,,0.1,A
46923,38.53333333,-120.2016667,1992,Lightning,CA,,0.1,A
46924,38.55833333,-120.1083333,1992,Lightning,CA,,0.1,A
46925,38.675,-120.1233333,1992,Lightning,CA,,0.1,A
46926,38.675,-120.145,1992,Lightning,CA,,0.1,A
46927,38.68666667,-120.1266667,1992,Lightning,CA,,0.1,A
46928,38.55833333,-120.2533333,1992,Campfire,CA,,0.1,A
46929,38.6,-120.3083333,1992,Lightning,CA,,0.1,A
46930,38.51666667,-120.1783333,1992,Lightning,CA,,0.1,A
46931,38.50833333,-120.1583333,1992,Lightning,CA,,0.1,A
46932,38.54166667,-120.2916667,1992,Lightning,CA,,0.1,A
46933,38.56,-120.2383333,1992,Lightning,CA,,0.1,A
